CDSCode,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
27660506106777,27,66050,6106777,2018-19,36,33,32,31,50,50,27,31,21,23,38,39
37682966110886,37,68296,6110886,2018-19,63,74,74,76,50,50,52,65,67,70,38,39
34674396034276,34,67439,6034276,2018-19,47,58,40,43,50,50,41,47,32,32,38,39
36678763630548,36,67876,3630548,2018-19,13,32,39,40,50,50,6,16,25,27,38,39
10739650114751,10,73965,0114751,2018-19,0,8,44,44,50,50,0,0,31,33,38,39
33670336031819,33,67033,6031819,2018-19,47,48,61,61,50,50,29,36,46,47,38,39
30666966030472,30,66696,6030472,2018-19,49,55,48,50,50,50,46,52,43,46,38,39
57726945730080,57,72694,5730080,2018-19,--,--,45,46,50,50,--,--,32,34,38,39
36676786108195,36,67678,6108195,2018-19,82,79,58,58,50,50,71,70,46,47,38,39
41690624138053,41,69062,4138053,2018-19,61,64,62,68,50,50,37,40,45,49,38,39
01611766000541,01,61176,6000541,2018-19,51,45,77,78,50,50,43,45,73,74,38,39
09618386096614,09,61838,6096614,2018-19,59,67,67,69,50,50,51,56,60,61,38,39
19647336017834,19,64733,6017834,2018-19,37,42,43,45,50,50,25,39,32,34,38,39
34765050114272,34,76505,0114272,2018-19,17,33,36,38,50,50,2,4,27,29,38,39
36679596110357,36,67959,6110357,2018-19,49,48,52,52,50,50,28,33,39,41,38,39
19642876011506,19,64287,6011506,2018-19,39,43,42,43,50,50,26,29,26,26,38,39
15633626009930,15,63362,6009930,2018-19,42,40,51,52,50,50,15,17,34,37,38,39
26736926025969,26,73692,6025969,2018-19,38,44,46,52,50,50,30,31,36,37,38,39
17640221730027,17,64022,1730027,2018-19,8,15,27,27,50,50,0,4,12,14,38,39
39754996118665,39,75499,6118665,2018-19,45,52,42,45,50,50,33,36,30,32,38,39
37683386039440,37,68338,6039440,2018-19,83,83,55,55,50,50,80,82,45,46,38,39
37680986038947,37,68098,6038947,2018-19,42,43,44,44,50,50,29,31,32,33,38,39
41690396044911,41,69039,6044911,2018-19,70,67,62,62,50,50,59,60,55,56,38,39
19647336017644,19,64733,6017644,2018-19,30,36,43,45,50,50,28,25,32,34,38,39
19651106023691,19,65110,6023691,2018-19,54,53,47,48,50,50,51,47,38,40,38,39
56737596055925,56,73759,6055925,2018-19,62,64,63,66,50,50,54,54,57,58,38,39
39686270136028,39,68627,0136028,2018-19,18,14,36,37,50,50,0,0,20,22,38,39
30666706030225,30,66670,6030225,2018-19,29,34,32,35,50,50,36,33,26,28,38,39
19645686013650,19,64568,6013650,2018-19,51,59,63,64,50,50,43,48,53,55,38,39
10621176112742,10,62117,6112742,2018-19,79,79,71,73,50,50,68,73,58,59,38,39
35674700127688,35,67470,0127688,2018-19,88,87,52,50,50,50,75,72,37,38,38,39
36750440116707,36,75044,0116707,2018-19,40,45,34,36,50,50,10,13,22,24,38,39
43695916049514,43,69591,6049514,2018-19,55,65,68,71,50,50,47,56,64,64,38,39
07617210107797,07,61721,0107797,2018-19,74,83,58,69,50,50,50,55,31,37,38,39
30666216029912,30,66621,6029912,2018-19,47,58,57,57,50,50,32,42,43,44,38,39
30667466030712,30,66746,6030712,2018-19,63,61,57,58,50,50,61,57,53,52,38,39
10624146007181,10,62414,6007181,2018-19,48,49,52,53,50,50,41,46,41,43,38,39
15633216111900,15,63321,6111900,2018-19,69,70,35,36,50,50,58,64,23,22,38,39
19647336016380,19,64733,6016380,2018-19,50,54,43,45,50,50,44,48,32,34,38,39
48705406093397,48,70540,6093397,2018-19,31,29,44,45,50,50,18,16,32,33,38,39
19647330137513,19,64733,0137513,2018-19,,9,43,45,50,50,,0,32,34,38,39
36678436036545,36,67843,6036545,2018-19,75,72,59,57,50,50,70,64,45,44,38,39
36750443630472,36,75044,3630472,2018-19,12,2,34,36,50,50,0,1,22,24,38,39
49708470127555,49,70847,0127555,2018-19,41,46,50,52,50,50,47,50,45,46,38,39
36676866035638,36,67686,6035638,2018-19,43,39,40,39,50,50,30,34,25,25,38,39
01612590112813,01,61259,0112813,2018-19,24,20,36,36,50,50,18,18,29,29,38,39
43696744330122,43,69674,4330122,2018-19,59,70,58,62,50,50,34,41,51,52,38,39
36678506036651,36,67850,6036651,2018-19,33,39,33,36,50,50,19,27,20,22,38,39
07617966120885,07,61796,6120885,2018-19,15,11,36,36,50,50,4,3,24,25,38,39
30664236027353,30,66423,6027353,2018-19,36,39,30,34,50,50,33,34,25,28,38,39
30665226028773,30,66522,6028773,2018-19,45,45,60,61,50,50,33,27,51,52,38,39
30736506120141,30,73650,6120141,2018-19,73,70,77,78,50,50,65,65,74,74,38,39
23655652330355,23,65565,2330355,2018-19,--,--,42,43,50,50,--,--,29,28,38,39
30664646117642,30,66464,6117642,2018-19,76,79,69,70,50,50,70,70,58,59,38,39
07618046113336,07,61804,6113336,2018-19,84,83,82,81,50,50,75,75,77,78,38,39
30666703035821,30,66670,3035821,2018-19,35,31,32,35,50,50,22,22,26,28,38,39
01612590135905,01,61259,0135905,2018-19,38,37,36,36,50,50,17,12,29,29,38,39
33769430132522,33,76943,0132522,2018-19,38,48,38,48,50,50,30,37,30,37,38,39
01613096002653,01,61309,6002653,2018-19,26,25,39,37,50,50,24,20,27,26,38,39
19647331933852,19,64733,1933852,2018-19,48,60,43,45,50,50,20,22,32,34,38,39
19647251934678,19,64725,1934678,2018-19,51,46,51,54,50,50,24,19,43,46,38,39
19647250127381,19,64725,0127381,2018-19,77,84,51,54,50,50,50,53,43,46,38,39
19734376057558,19,73437,6057558,2018-19,15,22,35,38,50,50,6,7,27,31,38,39
38684786040828,38,68478,6040828,2018-19,80,83,55,56,50,50,67,69,50,49,38,39
01100170123968,01,10017,0123968,2018-19,30,24,43,45,50,50,22,18,35,36,38,39
27754406118756,27,75440,6118756,2018-19,38,37,30,32,50,50,24,29,19,21,38,39
50105040131235,50,10504,0131235,2018-19,9,15,34,37,50,50,4,0,24,28,38,39
03739810330050,03,73981,0330050,2018-19,45,13,45,47,50,50,0,9,29,32,38,39
36679343630670,36,67934,3630670,2018-19,29,30,37,37,50,50,5,5,17,18,38,39
19646420136127,19,64642,0136127,2018-19,44,49,33,34,50,50,24,31,25,23,38,39
10624141030824,10,62414,1030824,2018-19,25,27,52,53,50,50,8,18,41,43,38,39
37680566115620,37,68056,6115620,2018-19,76,81,86,86,50,50,79,81,84,84,38,39
43694506047260,43,69450,6047260,2018-19,27,31,48,49,50,50,25,18,43,43,38,39
30664566027551,30,66456,6027551,2018-19,40,47,44,45,50,50,27,31,37,40,38,39
01611506090419,01,61150,6090419,2018-19,63,68,67,68,50,50,66,70,62,63,38,39
37683386040034,37,68338,6040034,2018-19,76,79,55,55,50,50,73,78,45,46,38,39
17640141730159,17,64014,1730159,2018-19,--,--,29,33,50,50,--,--,20,18,38,39
30664646109474,30,66464,6109474,2018-19,73,73,69,70,50,50,63,62,58,59,38,39
45699716111470,45,69971,6111470,2018-19,58,54,47,46,50,50,42,46,34,37,38,39
15634610107987,15,63461,0107987,2018-19,28,30,29,33,50,50,14,17,19,23,38,39
19647336017586,19,64733,6017586,2018-19,21,18,43,45,50,50,22,18,32,34,38,39
07616636119838,07,61663,6119838,2018-19,52,43,51,49,50,50,46,42,39,40,38,39
15739086009765,15,73908,6009765,2018-19,32,33,31,32,50,50,19,25,19,24,38,39
10621666068704,10,62166,6068704,2018-19,41,44,37,38,50,50,36,41,27,30,38,39
01100170130419,01,10017,0130419,2018-19,6,7,43,45,50,50,0,0,35,36,38,39
19647331931435,19,64733,1931435,2018-19,6,0,43,45,50,50,0,0,32,34,38,39
37683386039457,37,68338,6039457,2018-19,38,37,55,55,50,50,29,27,45,46,38,39
19647331931559,19,64733,1931559,2018-19,3,7,43,45,50,50,0,0,32,34,38,39
41689166043913,41,68916,6043913,2018-19,27,35,49,48,50,50,15,37,36,37,38,39
38684783830411,38,68478,3830411,2018-19,29,37,55,56,50,50,10,13,50,49,38,39
19648810113894,19,64881,0113894,2018-19,48,43,45,46,50,50,39,36,35,35,38,39
19647256057806,19,64725,6057806,2018-19,41,54,51,54,50,50,30,38,43,46,38,39
33752006120554,33,75200,6120554,2018-19,52,62,60,64,50,50,40,39,48,52,38,39
34765056033492,34,76505,6033492,2018-19,46,41,36,38,50,50,41,39,27,29,38,39
37681300132548,37,68130,0132548,2018-19,39,43,64,61,50,50,0,8,39,38,38,39
58727366056691,58,72736,6056691,2018-19,61,48,36,37,50,50,38,33,27,27,38,39
30664640111914,30,66464,0111914,2018-19,82,81,69,70,50,50,72,74,58,59,38,39
30666476097000,30,66647,6097000,2018-19,73,79,68,68,50,50,69,70,59,59,38,39
36678760128926,36,67876,0128926,2018-19,32,32,39,40,50,50,22,25,25,27,38,39
19647330126581,19,64733,0126581,2018-19,53,57,43,45,50,50,47,53,32,34,38,39
01612596001853,01,61259,6001853,2018-19,60,58,36,36,50,50,55,48,29,29,38,39
50757395030283,50,75739,5030283,2018-19,67,64,44,45,50,50,29,28,29,31,38,39
56726036055750,56,72603,6055750,2018-19,40,40,55,54,50,50,31,38,43,43,38,39
04615316112999,04,61531,6112999,2018-19,66,65,44,56,50,50,58,61,34,48,38,39
19646676108393,19,64667,6108393,2018-19,39,37,32,31,50,50,22,27,17,18,38,39
19647330133603,19,64733,0133603,2018-19,89,83,43,45,50,50,70,64,32,34,38,39
19647331937838,19,64733,1937838,2018-19,54,55,43,45,50,50,24,29,32,34,38,39
33671246103519,33,67124,6103519,2018-19,39,41,31,35,50,50,33,36,22,24,38,39
43696746048821,43,69674,6048821,2018-19,53,60,58,62,50,50,52,55,51,52,38,39
21654170124081,21,65417,0124081,2018-19,48,54,56,55,50,50,44,52,47,49,38,39
37684520105882,37,68452,0105882,2018-19,35,32,49,49,50,50,31,27,33,36,38,39
30666216029920,30,66621,6029920,2018-19,0.0,--,57,57,50,50,0.0,--,43,44,38,39
18750361833409,18,75036,1833409,2018-19,--,--,36,37,50,50,--,--,20,15,38,39
19646341934249,19,64634,1934249,2018-19,2,2,34,34,50,50,0,0,21,22,38,39
34674396059281,34,67439,6059281,2018-19,50,49,40,43,50,50,41,37,32,32,38,39
30666470116525,30,66647,0116525,2018-19,40,40,68,68,50,50,29,25,59,59,38,39
19648576021158,19,64857,6021158,2018-19,21,18,30,32,50,50,13,16,19,20,38,39
09618956005524,09,61895,6005524,2018-19,25,17,25,17,50,50,5,17,5,17,38,39
37683386039721,37,68338,6039721,2018-19,52,70,55,55,50,50,50,66,45,46,38,39
34673303430709,34,67330,3430709,2018-19,33,15,64,63,50,50,8,0,53,52,38,39
54722236054449,54,72223,6054449,2018-19,29,39,29,39,50,50,15,23,15,23,38,39
49709046052096,49,70904,6052096,2018-19,39,50,41,43,50,50,46,48,37,38,38,39
40687596043079,40,68759,6043079,2018-19,44,50,54,56,50,50,39,41,39,42,38,39
43696746048854,43,69674,6048854,2018-19,49,55,58,62,50,50,42,45,51,52,38,39
19648320100644,19,64832,0100644,2018-19,56,47,71,69,50,50,42,44,68,69,38,39
40687594030268,40,68759,4030268,2018-19,52,60,54,56,50,50,25,28,39,42,38,39
15635526115042,15,63552,6115042,2018-19,55,51,51,49,50,50,39,40,31,33,38,39
34673306059190,34,67330,6059190,2018-19,34,28,64,63,50,50,21,19,53,52,38,39
07617966004659,07,61796,6004659,2018-19,36,36,36,36,50,50,28,34,24,25,38,39
56724476054969,56,72447,6054969,2018-19,46,50,45,48,50,50,28,30,30,31,38,39
36676523630571,36,67652,3630571,2018-19,77,82,65,66,50,50,47,52,37,38,38,39
47703266050777,47,70326,6050777,2018-19,36,44,36,44,50,50,38,42,38,42,38,39
37103710128520,37,10371,0128520,2018-19,6,12,52,54,50,50,0,2,44,40,38,39
19649986120257,19,64998,6120257,2018-19,75,74,65,66,50,50,63,68,53,56,38,39
42767864231726,42,76786,4231726,2018-19,67,58,55,54,50,50,54,47,43,45,38,39
31669440106807,31,66944,0106807,2018-19,63,62,59,61,50,50,57,52,54,54,38,39
49708966052070,49,70896,6052070,2018-19,58,61,61,60,50,50,51,59,49,51,38,39
19647330124933,19,64733,0124933,2018-19,56,59,43,45,50,50,35,33,32,34,38,39
19646340128991,19,64634,0128991,2018-19,24,22,34,34,50,50,5,5,21,22,38,39
54719930124776,54,71993,0124776,2018-19,--,45,40,47,50,50,--,0,24,29,38,39
19647256015556,19,64725,6015556,2018-19,71,81,51,54,50,50,69,77,43,46,38,39
19643036011647,19,64303,6011647,2018-19,34,41,50,50,50,50,20,26,31,32,38,39
38684786041230,38,68478,6041230,2018-19,67,77,55,56,50,50,71,75,50,49,38,39
19651026109664,19,65102,6109664,2018-19,36,51,48,49,50,50,30,32,34,34,38,39
36676866035646,36,67686,6035646,2018-19,32,34,40,39,50,50,29,28,25,25,38,39
50712906095517,50,71290,6095517,2018-19,51,51,53,52,50,50,39,41,43,44,38,39
33736760100263,33,73676,0100263,2018-19,21,16,28,29,50,50,16,14,19,21,38,39
52716216053631,52,71621,6053631,2018-19,34,37,39,39,50,50,33,42,33,35,38,39
01612590115204,01,61259,0115204,2018-19,6,13,36,36,50,50,6,10,29,29,38,39
29768776111371,29,76877,6111371,2018-19,26,46,56,54,50,50,13,17,45,41,38,39
51714495130042,51,71449,5130042,2018-19,6,11,59,64,50,50,0,0,29,33,38,39
34674393430154,34,67439,3430154,2018-19,5,4,40,43,50,50,0,0,32,32,38,39
36678270137174,36,67827,0137174,2018-19,,22,26,28,50,50,,2,12,12,38,39
33672490102723,33,67249,0102723,2018-19,42,39,37,38,50,50,36,39,23,25,38,39
39754996107973,39,75499,6107973,2018-19,26,34,42,45,50,50,27,30,30,32,38,39
39686766042634,39,68676,6042634,2018-19,21,22,28,31,50,50,17,19,21,21,38,39
10622571033695,10,62257,1033695,2018-19,68,72,64,70,50,50,37,47,33,42,38,39
48705244830048,48,70524,4830048,2018-19,3,4,53,58,50,50,0,0,52,54,38,39
27660926026249,27,66092,6026249,2018-19,41,36,39,37,50,50,30,30,27,26,38,39
43104390128090,43,10439,0128090,2018-19,73,80,53,55,50,50,68,68,52,53,38,39
43696256097430,43,69625,6097430,2018-19,66,63,54,54,50,50,65,57,46,48,38,39
31103143130101,31,10314,3130101,2018-19,--,--,39,41,50,50,--,--,25,24,38,39
19648811936822,19,64881,1936822,2018-19,43,53,45,46,50,50,26,26,35,35,38,39
42692116045553,42,69211,6045553,2018-19,67,69,68,70,50,50,57,60,60,61,38,39
04615150437566,04,61515,0437566,2018-19,10,23,49,53,50,50,2,0,20,21,38,39
19648570105981,19,64857,0105981,2018-19,32,31,30,32,50,50,12,13,19,20,38,39
