CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
30736353030079,30,73635,3030079,2017-18,25,7,64,65,48,50,5,0,51,52,37,38
34752833430659,34,75283,3430659,2017-18,70,68,43,47,48,50,52,52,33,35,37,38
52714986112486,52,71498,6112486,2017-18,37,33,31,28,48,50,53,40,21,23,37,38
01611760135244,01,61176,0135244,2017-18,93,94,75,77,48,50,90,94,71,73,37,38
01612916002372,01,61291,6002372,2017-18,25,33,38,38,48,50,24,26,25,26,37,38
21654586024830,21,65458,6024830,2017-18,12,17,43,43,48,50,13,19,39,37,37,38
21653676024376,21,65367,6024376,2017-18,76,77,79,78,48,50,71,74,69,73,37,38
04614240437558,04,61424,0437558,2017-18,75,70,51,54,48,50,51,50,42,44,37,38
16101651630102,16,10165,1630102,2017-18,6,20,5,11,48,50,0,0,2,3,37,38
15633626119994,15,63362,6119994,2017-18,64,57,49,51,48,50,50,37,32,34,37,38
19734520125005,19,73452,0125005,2017-18,49,48,49,50,48,50,36,37,39,39,37,38
19647331930403,19,64733,1930403,2017-18,33,6,40,43,48,50,0,0,30,32,37,38
19647330122499,19,64733,0122499,2017-18,35,33,40,43,48,50,17,19,30,32,37,38
15737426009625,15,73742,6009625,2017-18,59,56,50,48,48,50,42,45,33,32,37,38
34674396033823,34,67439,6033823,2017-18,54,58,39,40,48,50,54,55,31,32,37,38
01612590130633,01,61259,0130633,2017-18,29,38,35,36,48,50,23,27,28,29,37,38
12753741232909,12,75374,1232909,2017-18,47,48,43,43,48,50,25,30,32,33,37,38
36750443630407,36,75044,3630407,2017-18,45,46,33,34,48,50,18,17,21,22,37,38
33736766108906,33,73676,6108906,2017-18,22,26,25,28,48,50,19,21,16,19,37,38
19647336016448,19,64733,6016448,2017-18,44,43,40,43,48,50,35,35,30,32,37,38
19647331931526,19,64733,1931526,2017-18,49,47,40,43,48,50,20,20,30,32,37,38
36678196036271,36,67819,6036271,2017-18,44,53,38,43,48,50,34,38,27,31,37,38
07617880116863,07,61788,0116863,2017-18,35,34,33,34,48,50,30,29,20,20,37,38
38684786041271,38,68478,6041271,2017-18,62,61,55,55,48,50,62,67,50,50,37,38
19647331931534,19,64733,1931534,2017-18,0,6,40,43,48,50,0,0,30,32,37,38
30666136029540,30,66613,6029540,2017-18,78,83,61,64,48,50,78,80,57,57,37,38
42691206046031,42,69120,6046031,2017-18,23,29,28,31,48,50,19,21,21,23,37,38
12627456007736,12,62745,6007736,2017-18,50,50,50,50,48,50,43,46,43,46,37,38
43696746048987,43,69674,6048987,2017-18,44,41,58,58,48,50,39,33,49,51,37,38
30665483038445,30,66548,3038445,2017-18,75,65,78,72,48,50,49,46,52,50,37,38
33672150126128,33,67215,0126128,2017-18,48,55,47,49,48,50,35,38,34,35,37,38
30739246029078,30,73924,6029078,2017-18,88,90,81,82,48,50,83,88,73,74,37,38
18750366010714,18,75036,6010714,2017-18,25,17,33,36,48,50,5,8,15,20,37,38
13630996111587,13,63099,6111587,2017-18,21,21,28,30,48,50,13,15,19,22,37,38
30664236027395,30,66423,6027395,2017-18,28,28,26,30,48,50,20,24,22,25,37,38
36677776036032,36,67777,6036032,2017-18,42,45,42,39,48,50,24,24,28,26,37,38
07618046097166,07,61804,6097166,2017-18,79,79,81,82,48,50,75,73,77,77,37,38
19647330128389,19,64733,0128389,2017-18,33,26,40,43,48,50,28,21,30,32,37,38
19752916022479,19,75291,6022479,2017-18,59,67,57,58,48,50,55,58,45,44,37,38
28662662830016,28,66266,2830016,2017-18,60,59,45,47,48,50,29,31,33,34,37,38
20652436023972,20,65243,6023972,2017-18,37,35,32,33,48,50,27,30,21,23,37,38
19643036011613,19,64303,6011613,2017-18,63,66,48,50,48,50,47,50,29,31,37,38
10621176108096,10,62117,6108096,2017-18,74,80,69,71,48,50,68,75,56,58,37,38
19647330117655,19,64733,0117655,2017-18,48,50,40,43,48,50,39,33,30,32,37,38
19648406020911,19,64840,6020911,2017-18,40,48,44,46,48,50,33,38,30,32,37,38
24658700111294,24,65870,0111294,2017-18,46,41,47,47,48,50,33,32,34,35,37,38
19647331996651,19,64733,1996651,2017-18,11,13,40,43,48,50,5,2,30,32,37,38
39686760111328,39,68676,0111328,2017-18,20,22,26,28,48,50,17,22,20,21,37,38
41690624133716,41,69062,4133716,2017-18,71,56,71,62,48,50,53,46,49,45,37,38
15101570119669,15,10157,0119669,2017-18,41,50,29,33,48,50,21,26,16,19,37,38
50712820105700,50,71282,0105700,2017-18,49,55,46,48,48,50,40,49,37,38,37,38
07617886004535,07,61788,6004535,2017-18,25,38,33,34,48,50,20,22,20,20,37,38
45701106050512,45,70110,6050512,2017-18,56,55,47,46,48,50,60,49,42,39,37,38
54722316108385,54,72231,6108385,2017-18,47,46,32,33,48,50,35,31,22,22,37,38
33672153336237,33,67215,3336237,2017-18,55,49,47,49,48,50,27,22,34,35,37,38
37735696038871,37,73569,6038871,2017-18,22,24,42,45,48,50,23,25,35,36,37,38
13630990112318,13,63099,0112318,2017-18,40,39,28,30,48,50,34,37,19,22,37,38
38684786041305,38,68478,6041305,2017-18,75,76,55,55,48,50,74,74,50,50,37,38
28662666026876,28,66266,6026876,2017-18,34,37,45,47,48,50,30,30,33,34,37,38
19648086020671,19,64808,6020671,2017-18,35,33,34,35,48,50,31,30,20,22,37,38
30736500127472,30,73650,0127472,2017-18,82,84,77,77,48,50,82,81,74,74,37,38
17640226010615,17,64022,6010615,2017-18,27,31,22,27,48,50,11,16,8,12,37,38
33670336031785,33,67033,6031785,2017-18,48,51,59,61,48,50,38,37,45,46,37,38
36676456110704,36,67645,6110704,2017-18,59,59,53,55,48,50,40,42,39,43,37,38
38684786104673,38,68478,6104673,2017-18,12,13,55,55,48,50,9,7,50,50,37,38
41689816044275,41,68981,6044275,2017-18,83,82,84,84,48,50,79,83,81,85,37,38
42767866045850,42,76786,6045850,2017-18,27,32,52,55,48,50,23,24,43,43,37,38
36675876120604,36,67587,6120604,2017-18,27,34,21,26,48,50,17,25,11,15,37,38
10624146007116,10,62414,6007116,2017-18,35,46,48,52,48,50,29,44,39,41,37,38
45699896050280,45,69989,6050280,2017-18,47,38,43,38,48,50,33,36,31,35,37,38
33670336059026,33,67033,6059026,2017-18,34,34,59,61,48,50,16,18,45,46,37,38
19647336119044,19,64733,6119044,2017-18,41,45,40,43,48,50,41,43,30,32,37,38
50736016025753,50,73601,6025753,2017-18,24,23,41,41,48,50,18,24,24,25,37,38
19647331936160,19,64733,1936160,2017-18,41,36,40,43,48,50,25,18,30,32,37,38
50755720118513,50,75572,0118513,2017-18,22,40,43,46,48,50,22,33,25,27,37,38
54722565434527,54,72256,5434527,2017-18,72,57,47,48,48,50,28,23,31,31,37,38
37682216038756,37,68221,6038756,2017-18,44,47,41,43,48,50,32,33,31,33,37,38
37680230108662,37,68023,0108662,2017-18,78,75,62,65,48,50,75,70,49,51,37,38
19650606022990,19,65060,6022990,2017-18,62,71,65,68,48,50,64,74,59,61,37,38
41689656044176,41,68965,6044176,2017-18,85,85,82,84,48,50,85,82,80,81,37,38
31750856119853,31,75085,6119853,2017-18,66,69,70,71,48,50,66,69,62,63,37,38
10621666006464,10,62166,6006464,2017-18,27,21,34,37,48,50,21,20,24,27,37,38
19643786012090,19,64378,6012090,2017-18,49,49,50,51,48,50,39,40,41,43,37,38
19647330132027,19,64733,0132027,2017-18,,62,,43,,50,,18,,32,,38
37681303734548,37,68130,3734548,2017-18,62,49,67,64,48,50,38,41,38,39,37,38
36678766037071,36,67876,6037071,2017-18,34,33,35,39,48,50,17,20,22,25,37,38
19648166020713,19,64816,6020713,2017-18,40,43,35,37,48,50,31,30,23,25,37,38
19648080124552,19,64808,0124552,2017-18,45,56,34,35,48,50,14,9,20,22,37,38
19647330121293,19,64733,0121293,2017-18,60,64,40,43,48,50,23,38,30,32,37,38
19647336018071,19,64733,6018071,2017-18,42,48,40,43,48,50,33,39,30,32,37,38
29102980114314,29,10298,0114314,2017-18,65,25,44,43,48,50,25,4,30,29,37,38
30666476030936,30,66647,6030936,2017-18,63,66,67,68,48,50,69,70,59,59,37,38
20652436024053,20,65243,6024053,2017-18,41,40,32,33,48,50,19,20,21,23,37,38
19647336058275,19,64733,6058275,2017-18,68,65,40,43,48,50,54,56,30,32,37,38
19647336061402,19,64733,6061402,2017-18,21,22,40,43,48,50,12,10,30,32,37,38
37680490132506,37,68049,0132506,2017-18,38,43,39,41,48,50,22,23,22,23,37,38
07617886084966,07,61788,6084966,2017-18,35,37,33,34,48,50,18,16,20,20,37,38
19647336018337,19,64733,6018337,2017-18,22,26,40,43,48,50,17,19,30,32,37,38
16639821630011,16,63982,1630011,2017-18,3,2,48,54,48,50,0,0,21,21,37,38
01612590131896,01,61259,0131896,2017-18,17,18,35,36,48,50,7,12,28,29,37,38
43693936046627,43,69393,6046627,2017-18,42,44,53,55,48,50,32,31,48,49,37,38
33670336116404,33,67033,6116404,2017-18,69,75,59,61,48,50,65,64,45,46,37,38
30103060132613,30,10306,0132613,2017-18,20,32,35,40,48,50,11,17,24,30,37,38
19647746020267,19,64774,6020267,2017-18,27,28,33,35,48,50,21,27,22,24,37,38
27660920124602,27,66092,0124602,2017-18,55,60,38,39,48,50,43,49,27,27,37,38
36676523630845,36,67652,3630845,2017-18,0,--,66,65,48,50,0,--,36,37,37,38
04615070129577,04,61507,0129577,2017-18,51,53,30,32,48,50,47,54,23,25,37,38
30664236027387,30,66423,6027387,2017-18,16,16,26,30,48,50,14,16,22,25,37,38
43696666048664,43,69666,6048664,2017-18,66,66,53,54,48,50,62,64,42,43,37,38
36676866035620,36,67686,6035620,2017-18,41,44,36,40,48,50,31,35,23,25,37,38
01612590115576,01,61259,0115576,2017-18,2,8,35,36,48,50,3,6,28,29,37,38
54721326054365,54,72132,6054365,2017-18,43,51,43,51,48,50,31,40,31,40,37,38
33752420100958,33,75242,0100958,2017-18,38,42,40,42,48,50,28,31,25,27,37,38
29663572935500,29,66357,2935500,2017-18,74,68,68,61,48,50,39,41,38,35,37,38
34674396034177,34,67439,6034177,2017-18,35,39,39,40,48,50,30,33,31,32,37,38
43104390131748,43,10439,0131748,2017-18,,38,,53,,50,,58,,52,,38
36679590117416,36,67959,0117416,2017-18,49,50,51,52,48,50,43,45,39,39,37,38
36677106035901,36,67710,6035901,2017-18,25,31,33,38,48,50,16,20,19,23,37,38
07617966004667,07,61796,6004667,2017-18,18,8,35,36,48,50,11,7,25,24,37,38
19647330122192,19,64733,0122192,2017-18,29,31,40,43,48,50,18,17,30,32,37,38
37682216038806,37,68221,6038806,2017-18,40,41,41,43,48,50,30,30,31,33,37,38
18641966109748,18,64196,6109748,2017-18,40,39,40,40,48,50,42,35,38,35,37,38
33671576109334,33,67157,6109334,2017-18,43,43,42,43,48,50,28,28,26,29,37,38
09619296005615,09,61929,6005615,2017-18,47,47,45,45,48,50,42,36,39,36,37,38
37737910111468,37,73791,0111468,2017-18,80,82,65,65,48,50,71,72,49,51,37,38
37684113733953,37,68411,3733953,2017-18,45,49,53,52,48,50,16,20,32,33,37,38
30666966030472,30,66696,6030472,2017-18,46,49,45,48,48,50,45,46,42,43,37,38
16638916010359,16,63891,6010359,2017-18,30,30,31,33,48,50,12,13,17,19,37,38
10621666006373,10,62166,6006373,2017-18,37,40,34,37,48,50,36,48,24,27,37,38
39685440105718,39,68544,0105718,2017-18,49,53,54,58,48,50,35,39,45,45,37,38
56726036084917,56,72603,6084917,2017-18,62,68,55,55,48,50,60,61,42,43,37,38
48705326120240,48,70532,6120240,2017-18,29,32,40,42,48,50,26,22,31,34,37,38
19647336018592,19,64733,6018592,2017-18,34,38,40,43,48,50,23,25,30,32,37,38
19643786012140,19,64378,6012140,2017-18,52,60,50,51,48,50,43,54,41,43,37,38
42691956045405,42,69195,6045405,2017-18,37,43,59,62,48,50,38,42,57,59,37,38
36676116035372,36,67611,6035372,2017-18,23,21,29,31,48,50,14,13,21,20,37,38
37681146109524,37,68114,6109524,2017-18,39,47,56,57,48,50,36,35,44,45,37,38
30665066028195,30,66506,6028195,2017-18,27,37,55,59,48,50,25,28,49,51,37,38
30665143037348,30,66514,3037348,2017-18,83,73,69,62,48,50,59,54,44,42,37,38
30664640111914,30,66464,0111914,2017-18,81,82,69,69,48,50,71,72,58,58,37,38
09618380111724,09,61838,0111724,2017-18,66,65,69,67,48,50,55,54,63,60,37,38
20652430100016,20,65243,0100016,2017-18,38,45,32,33,48,50,36,30,21,23,37,38
39686506042485,39,68650,6042485,2017-18,50,49,59,60,48,50,34,40,42,45,37,38
13631076008403,13,63107,6008403,2017-18,48,45,44,43,48,50,37,55,26,25,37,38
30666216029987,30,66621,6029987,2017-18,43,53,54,57,48,50,31,39,40,43,37,38
36676860125500,36,67686,0125500,2017-18,50,56,36,40,48,50,16,25,23,25,37,38
01612590130146,01,61259,0130146,2017-18,0,0,35,36,48,50,0,0,28,29,37,38
34673143432002,34,67314,3432002,2017-18,20,6,54,55,48,50,0,0,44,45,37,38
19647330133736,19,64733,0133736,2017-18,98,97,40,43,48,50,100,99,30,32,37,38
08618206005458,08,61820,6005458,2017-18,28,35,33,35,48,50,21,27,24,25,37,38
26736686025928,26,73668,6025928,2017-18,0,15,52,46,48,50,0,7,28,27,37,38
10767786005748,10,76778,6005748,2017-18,42,42,35,36,48,50,31,35,22,21,37,38
53717616053813,53,71761,6053813,2017-18,--,--,--,--,48,50,--,--,--,--,37,38
19647336018170,19,64733,6018170,2017-18,30,36,40,43,48,50,25,26,30,32,37,38
19647256057814,19,64725,6057814,2017-18,30,34,48,51,48,50,20,26,38,43,37,38
30664313030384,30,66431,3030384,2017-18,40,21,46,44,48,50,6,7,28,27,37,38
30736356097372,30,73635,6097372,2017-18,70,67,64,65,48,50,57,59,51,52,37,38
33671736111025,33,67173,6111025,2017-18,23,37,39,40,48,50,20,28,25,26,37,38
01611760130138,01,61176,0130138,2017-18,22,15,75,77,48,50,3,5,71,73,37,38
34674476034623,34,67447,6034623,2017-18,13,17,44,45,48,50,10,13,33,34,37,38
19647330122622,19,64733,0122622,2017-18,41,46,40,43,48,50,37,38,30,32,37,38
